optimizer,best_params,run,score
IGWO,"[2.20968238e-01 9.33138792e-01 7.92748857e-02 1.67056575e+02
 8.30261492e+01 1.84101271e+02 1.01218162e-01 3.46495209e-01
 1.26726954e-01 2.86941054e-04 1.10246151e+02 1.95040915e+02
 8.09387759e+01 3.35392556e-01]",34,2753.123399207735
IGWO,"[4.20885023e-01 9.30508707e-01 2.99420251e-01 7.82632650e+01
 9.31642430e+01 2.00000000e+02 1.64523115e-01 9.60487165e-01
 1.64569181e-02 3.40406265e-02 1.02463237e+02 1.18679391e+02
 1.46882746e+02 3.30500543e-01]",35,2846.214515083734
IGWO,"[5.15280763e-02 9.22998473e-01 1.46314741e-01 8.05781840e+01
 8.77993379e+01 4.71631125e+01 3.24021819e-01 8.07915048e-01
 2.11163576e-02 1.11771539e-02 1.05763046e+02 1.75106868e+02
 1.04474375e+02 3.14989207e-01]",36,2869.7663168088093
IGWO,"[7.82868584e-01 8.12575011e-01 2.36093789e-01 7.11625971e+01
 5.84942452e+01 1.52000188e+02 4.64650545e-01 6.84197221e-02
 7.69505336e-01 2.50517112e-03 7.77359732e+00 1.23683454e+02
 4.06132199e+01 7.91305484e-01]",37,3007.935608328323
IGWO,"[1.00000000e+00 5.83461395e-01 5.02654093e-01 6.80048175e+01
 4.23755844e+01 1.85823236e+02 5.80669391e-01 6.35669524e-01
 4.62469191e-02 5.83450868e-02 1.12437667e+02 8.72526771e+01
 1.88433595e+02 6.59514289e-01]",38,2252.511196233313
IGWO,"[  0.23345008   0.86715267   0.52466871  17.20852058  85.26447178
  21.44399482   0.56403459   0.97358685   0.30824169   0.79510814
 110.45954608 115.38246271 185.64909698   0.2282118 ]",39,2848.5116759255216
IGWO,"[8.12265594e-01 5.66023159e-01 4.04086862e-09 6.91127898e+01
 2.00000000e+02 1.21019297e+02 8.45791166e-01 7.92382098e-01
 0.00000000e+00 1.97253729e-02 1.27347659e+02 1.30928384e+02
 2.00000000e+02 1.13326973e-01]",40,2328.9662911690807
IGWO,"[4.75551532e-01 8.56799897e-01 4.76194391e-01 6.91272655e+01
 8.36372003e+01 9.09993365e+01 1.14003074e-01 5.01982061e-01
 9.48912030e-01 2.63399006e-01 1.00040951e+02 1.30639381e+02
 1.04829987e+02 1.23317740e-01]",41,2895.979798941872
IGWO,"[0.00000000e+00 7.39319607e-01 0.00000000e+00 9.51348880e+01
 8.70482635e+01 2.97090161e+01 2.17136187e-01 5.92706721e-01
 2.30944967e-01 2.01615522e-02 1.19246526e+02 3.48941360e+01
 5.90952538e+01 4.20523049e-01]",42,2033.8151750636755
IGWO,"[3.61008038e-02 8.89457651e-01 3.99827897e-01 8.65214779e+01
 8.03725170e+01 1.61207209e+01 3.98410375e-01 7.24819695e-01
 1.03545459e-01 2.21636836e-01 1.07046943e+02 1.64268195e+02
 1.68867331e+02 2.80361015e-01]",43,2872.3765189684405
IGWO,"[5.87462059e-01 9.40164183e-01 5.65832462e-01 7.23013457e+01
 9.65713636e+01 1.31496891e+02 1.02073830e-01 8.78671459e-01
 1.30227952e-01 1.09803587e-01 1.01688979e+02 6.71017295e+01
 1.11914288e+02 1.63413500e-01]",44,3006.536628510629
IGWO,"[4.04175875e-01 6.41369706e-01 9.15739937e-01 8.28603653e+01
 8.65583362e+01 1.65573342e+02 1.00040239e-01 6.40761073e-01
 2.39614102e-01 1.72539403e-01 1.24391406e+02 2.00000000e+02
 5.00000000e+00 4.92827503e-01]",45,2415.4380578214736
IGWO,"[  0.21858792   0.71534823   0.34935206  42.90691234  89.33260616
 103.2750192    0.74128541   0.53301142   0.35146662   0.26244689
 114.41699295 103.96308301 139.38730786   0.59263469]",46,2550.052380767533
IGWO,"[6.53158367e-01 3.38951042e-01 6.39618558e-01 8.11496237e+01
 7.26096327e+01 1.66522293e+02 1.58037100e-01 5.80907523e-01
 1.36853012e-01 7.05212277e-02 9.97318155e+01 1.80544116e+01
 5.99024325e+01 2.29583020e-01]",47,2857.891711210355
IGWO,"[0.00000000e+00 6.04213393e-01 1.68057262e-01 1.85968118e+02
 9.10115160e+01 1.59714610e+02 7.05748239e-01 8.06627897e-01
 6.35039027e-01 2.88263052e-01 1.01574548e+02 1.36164278e+02
 1.15641259e+02 9.50000000e-01]",48,2725.499494620352
IGWO,"[9.20663111e-01 9.94291972e-02 9.12749101e-01 7.23544452e+01
 2.36559875e+01 1.20117778e+02 1.13926969e-01 5.26592629e-01
 1.14086919e-01 2.89675932e-01 9.78931219e+01 1.19855471e+02
 4.89855650e+01 1.68738695e-01]",49,2645.260835148452
IGWO,"[  0.48026883   0.89596044   0.54540612  41.53436713  84.78016952
  89.8427452    0.63519721   0.85868297   0.19241465   0.27775409
 113.33240771 132.26783938  37.59631982   0.29759483]",50,2203.2995956570217
IGWO,"[0.00000000e+00 6.06916783e-01 5.03627031e-02 1.81536234e+02
 1.08170816e+02 9.80071274e+01 1.65011532e-01 6.68490242e-01
 0.00000000e+00 1.59571823e-02 1.04882416e+02 8.60665574e+01
 1.27747468e+02 1.09224086e-01]",51,2569.404229067727
IGWO,"[6.72951278e-01 9.12564700e-02 2.51190324e-01 5.99212444e+01
 1.00387367e+02 1.50638139e+01 6.18274610e-01 9.35190998e-01
 2.86333554e-01 3.15971749e-02 1.29030687e+02 1.42675339e+02
 1.24765929e+02 8.87192364e-01]",52,1881.3547820285237
IGWO,"[  0.2400701    0.2789731    0.          75.49182778 180.59419291
  37.44150223   0.35795618   0.51803897   0.35383851   0.
 119.42150143 164.89303226 136.62086295   0.2070709 ]",53,2296.656505065317
IGWO,"[1.41673538e-01 1.00000000e+00 1.72623443e-01 1.27687644e+02
 8.81557093e+01 1.10013246e+02 7.33766176e-01 1.00000000e+00
 8.74129807e-01 1.23632377e-01 1.09313613e+02 1.33745743e+02
 9.37553628e+01 7.66224754e-01]",54,2899.1405741854946
